model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,push,vs,es,date
twitter_mpi,52579683,1963263821,ac4trim,1,1947.996,9213375,-1,9213375,61093667,0,0,0,0,0,4096,15219,100,100,2021-06-02.22:47:29
wiki-link-en,12150977,378142420,ac4trim,1,62.685,37099,-1,37099,312907,0,0,0,0,0,4096,33,100,100,2021-06-02.22:47:41
com-friendster,124836180,1806067135,fasttrim,2,67011.537,124836180,-1,124836180,1863944944,0,0,0,0,0,4096,611,100,100,2021-06-02.22:50:39
twitter,41354195,1440030213,fasttrim,2,3784.454,4157028,-1,4157028,21734698,0,0,0,0,0,4096,227,100,100,2021-06-02.22:51:52
twitter_mpi,52579683,1963263821,fasttrim,2,2986.402,9213375,-1,9213375,27083414,0,0,0,0,0,4096,327,100,100,2021-06-02.22:53:31
wiki-link-en,12150977,378142420,fasttrim,2,542.38,37099,-1,37099,6189680,0,0,0,0,0,4096,6,100,100,2021-06-02.22:53:45
com-friendster,124836180,1806067135,trim,2,5018224,124836180,13220,124836180,81720086982,0,0,0,0,0,4096,-1,100,100,2021-06-03.00:19:11
twitter,41354195,1440030213,trim,2,3227.543,4157028,6,4157028,115116468,0,0,0,0,0,4096,-1,100,100,2021-06-03.00:20:25
twitter_mpi,52579683,1963263821,trim,2,3901.336,9213375,7,9213375,157741209,0,0,0,0,0,4096,-1,100,100,2021-06-03.00:22:07
wiki-link-en,12150977,378142420,trim,2,409.054,37099,4,37099,25347579,0,0,0,0,0,4096,-1,100,100,2021-06-03.00:22:20
com-friendster,124836180,1806067135,ac4trim,2,61726.624,124836180,-1,124836180,1747344368,0,0,0,0,0,4096,681,100,100,2021-06-03.00:25:14
twitter,41354195,1440030213,ac4trim,2,1157.11,4157028,-1,4157028,46972685,0,0,0,0,0,4096,290,100,100,2021-06-03.00:26:27
twitter_mpi,52579683,1963263821,ac4trim,2,1056.698,9213375,-1,9213375,30553261,0,0,0,0,0,4096,15219,100,100,2021-06-03.00:28:04
wiki-link-en,12150977,378142420,ac4trim,2,32.555,37099,-1,37099,165023,0,0,0,0,0,4096,33,100,100,2021-06-03.00:28:16
com-friendster,124836180,1806067135,fasttrim,4,61299.26,124836180,-1,124836180,1830883694,0,0,0,0,0,4096,610,100,100,2021-06-03.00:31:08
twitter,41354195,1440030213,fasttrim,4,2038.916,4157028,-1,4157028,10846258,0,0,0,0,0,4096,227,100,100,2021-06-03.00:32:23
twitter_mpi,52579683,1963263821,fasttrim,4,1605.869,9213375,-1,9213375,13524713,0,0,0,0,0,4096,327,100,100,2021-06-03.00:33:58
