model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,push,vs,es,date
twitter,41354195,288040314,ac4trim,16,444.946000,15603460,-1,15603460,2549276,0,0,0,0,0,4096,220,100,20,2021-06-13.11:13:51
twitter,12408733,432792360,ac4trim,16,24773.207000,3292336,-1,3292336,849242,0,0,0,0,0,4096,248,30,100,2021-06-13.11:15:48
twitter,41354195,432005365,ac4trim,16,463.800000,11201378,-1,11201378,2917706,0,0,0,0,0,4096,235,100,30,2021-06-13.11:17:58
twitter,16538620,575615428,ac4trim,16,338.693000,3448945,-1,3448945,1285288,0,0,0,0,0,4096,275,40,100,2021-06-13.11:19:25
twitter,41354195,576011308,ac4trim,16,22759.372000,8672935,-1,8672935,3448137,0,0,0,0,0,4096,248,100,40,2021-06-13.11:22:15
twitter,20681605,720487444,ac4trim,16,19835.841000,3533083,-1,3533083,1880308,0,0,0,0,0,4096,281,50,100,2021-06-13.11:24:21
twitter,41354195,720004115,ac4trim,16,506.926000,7100811,-1,7100811,3825418,0,0,0,0,0,4096,269,100,50,2021-06-13.11:26:57
twitter,24812325,863337962,ac4trim,16,17536.890000,3670189,-1,3670189,2559042,0,0,0,0,0,4096,296,60,100,2021-06-13.11:29:06
twitter,41354195,864002738,ac4trim,16,17553.839000,6063085,-1,6063085,4296240,0,0,0,0,0,4096,290,100,60,2021-06-13.11:32:07
twitter,28948017,1007296320,ac4trim,16,13813.734000,3763741,-1,3763741,3328326,0,0,0,0,0,4096,306,70,100,2021-06-13.11:34:16
twitter,41354195,1008031372,ac4trim,16,11767.864000,5342470,-1,5342470,4821046,0,0,0,0,0,4096,290,100,70,2021-06-13.11:37:25
twitter,33083658,1152045557,ac4trim,16,14782.009000,3859658,-1,3859658,4290261,0,0,0,0,0,4096,302,80,100,2021-06-13.11:39:41
twitter,41354195,1152065400,ac4trim,16,1022.729000,4827539,-1,4827539,5287565,0,0,0,0,0,4096,287,100,80,2021-06-13.11:42:47
twitter,37217201,1293943524,ac4trim,16,9086.129000,4003370,-1,4003370,5255357,0,0,0,0,0,4096,323,90,100,2021-06-13.11:44:39
