model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,sccs,size1,size2,size3,date
dbpedia-link,18268993,172183984,ufscc,4,3270.658,-1,-1,-1,14459547,14450686,7201,1107,2019-11-05.12:34:48
-leader-filters.7,26302351,91692858,ufscc,4,639.534,-1,-1,-1,26302351,26302351,0,0,2019-11-05.12:34:51
livej,4847571,68993773,ufscc,4,1708.653,-1,-1,-1,971232,947776,16875,3280,2019-11-05.12:34:55
patent,3774768,16518948,ufscc,4,359.339,-1,-1,-1,3774768,3774768,0,0,2019-11-05.12:34:56
pokec,1632804,30622564,ufscc,4,823.638,-1,-1,-1,325893,323799,1904,151,2019-11-05.12:34:58
random,10000001,100000000,ufscc,4,5269.92,-1,-1,-1,877,876,0,0,2019-11-05.12:35:07
rmat,9999994,100000000,ufscc,4,4872.223,-1,-1,-1,2247072,2247071,0,0,2019-11-05.12:35:16
ssca2,1048577,157877986,ufscc,4,872.105,-1,-1,-1,31,29,1,0,2019-11-05.12:35:21
wiki_link_en,12150977,378142420,ufscc,4,5065.456,-1,-1,-1,4852900,4846174,3205,1301,2019-11-05.12:35:39
wiki-links,5710993,130160392,ufscc,4,2376.589,-1,-1,-1,2002220,1998569,2692,605,2019-11-05.12:35:45
wiki_talk_en,2987536,24981163,ufscc,4,295.805,-1,-1,-1,2736716,2735641,992,58,2019-11-05.12:35:47
youtube-links,1138500,4942297,ufscc,4,182.237,-1,-1,-1,613423,602053,8696,1709,2019-11-05.12:35:48
baidu,2141301,17794839,fasttrim,6,31.516,598975,-1,598975,0,0,0,0,2019-11-05.12:35:48
-bakery.6,11845035,40400559,fasttrim,6,120.135,2636196,-1,2636196,0,0,0,0,2019-11-05.12:35:50
-cambridge.6,3354295,9483191,fasttrim,6,32.281,8412,-1,8412,0,0,0,0,2019-11-05.12:35:51
dbpedia,3966925,13820853,fasttrim,6,49.802,1437127,-1,1437127,0,0,0,0,2019-11-05.12:35:51
dbpedia-link,18268993,172183984,fasttrim,6,263.635,8143619,-1,8143619,0,0,0,0,2019-11-05.12:35:57
-leader-filters.7,26302351,91692858,fasttrim,6,281.248,26302351,-1,26302351,0,0,0,0,2019-11-05.12:36:01
livej,4847571,68993773,fasttrim,6,91.099,592952,-1,592952,0,0,0,0,2019-11-05.12:36:03
patent,3774768,16518948,fasttrim,6,282.685,3774768,-1,3774768,0,0,0,0,2019-11-05.12:36:04
pokec,1632804,30622564,fasttrim,6,23.053,212042,-1,212042,0,0,0,0,2019-11-05.12:36:05
random,10000001,100000000,fasttrim,6,253.451,455,-1,455,0,0,0,0,2019-11-05.12:36:09
rmat,9999994,100000000,fasttrim,6,230.084,2203713,-1,2203713,0,0,0,0,2019-11-05.12:36:13
ssca2,1048577,157877986,fasttrim,6,27.646,11,-1,11,0,0,0,0,2019-11-05.12:36:18
wiki_link_en,12150977,378142420,fasttrim,6,219.752,37102,-1,37102,0,0,0,0,2019-11-05.12:36:28
wiki-links,5710993,130160392,fasttrim,6,100.576,7415,-1,7415,0,0,0,0,2019-11-05.12:36:32
wiki_talk_en,2987536,24981163,fasttrim,6,10.272,2611598,-1,2611598,0,0,0,0,2019-11-05.12:36:34
youtube-links,1138500,4942297,fasttrim,6,10.964,600414,-1,600414,0,0,0,0,2019-11-05.12:36:35
baidu,2141301,17794839,trim,6,45.416,598975,9,598975,598975,598975,0,0,2019-11-05.12:36:35
-bakery.6,11845035,40400559,trim,6,975.869,2636196,48,2636196,2636196,2636196,0,0,2019-11-05.12:36:38
-cambridge.6,3354295,9483191,trim,6,317.826,8412,65,8412,8412,8412,0,0,2019-11-05.12:36:39
dbpedia,3966925,13820853,trim,6,729.185,1437127,113,1437127,1437127,1437127,0,0,2019-11-05.12:36:40
dbpedia-link,18268993,172183984,trim,6,239.294,8143619,5,8143619,8143619,8143619,0,0,2019-11-05.12:36:46
-leader-filters.7,26302351,91692858,trim,6,1499.309,26302351,73,26302351,26302351,26302351,0,0,2019-11-05.12:36:51
livej,4847571,68993773,trim,6,141.971,592952,8,592952,592952,592952,0,0,2019-11-05.12:36:53
patent,3774768,16518948,trim,6,138.224,3774768,22,3774768,3774768,3774768,0,0,2019-11-05.12:36:54
pokec,1632804,30622564,trim,6,31.678,212042,5,212042,212042,212042,0,0,2019-11-05.12:36:55
random,10000001,100000000,trim,6,84.439,455,2,455,455,455,0,0,2019-11-05.12:36:59
rmat,9999994,100000000,trim,6,236.856,2203713,6,2203713,2203713,2203713,0,0,2019-11-05.12:37:03
ssca2,1048577,157877986,trim,6,9.897,11,2,11,11,11,0,0,2019-11-05.12:37:07
