model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,sccs,maxscc,size1,size2,size3,date
rmat,9999994,100000000,trim,2,528.808000,2203713,6,2203713,2203713,2203713,2203713,0,0,2019-11-08.13:04:35
ssca2,1048577,157877986,trim,2,25.367000,11,2,11,11,11,11,0,0,2019-11-08.13:04:40
wiki_link_en,12150977,378142420,trim,2,418.111000,37102,4,37102,37102,37102,37102,0,0,2019-11-08.13:04:51
wiki-links,5710993,130160392,trim,2,213.306000,7415,4,7415,7415,7415,7415,0,0,2019-11-08.13:04:56
wiki_talk_en,2987536,24981163,trim,2,33.623000,2611598,7,2611598,2611598,2611598,2611598,0,0,2019-11-08.13:04:58
youtube-links,1138500,4942297,trim,2,21.211000,600414,6,600414,600414,600414,600414,0,0,2019-11-08.13:04:59
baidu,2141301,17794839,ufscc,2,583.744000,-1,-1,-1,1503004,-1,1480722,18688,2473,2019-11-08.13:05:00
-bakery.6,11845035,40400559,ufscc,2,1625.658000,-1,-1,-1,2636212,-1,2636197,0,0,2019-11-08.13:05:03
-cambridge.6,3354295,9483191,ufscc,2,294.587000,-1,-1,-1,8413,-1,8412,0,0,2019-11-08.13:05:04
dbpedia,3966925,13820853,ufscc,2,301.416000,-1,-1,-1,3636316,-1,3587274,24933,8868,2019-11-08.13:05:05
dbpedia-link,18268993,172183984,ufscc,2,6076.404000,-1,-1,-1,14459547,-1,14450686,7201,1107,2019-11-08.13:05:17
-leader-filters.7,26302351,91692858,ufscc,2,1088.125000,-1,-1,-1,26302351,-1,26302351,0,0,2019-11-08.13:05:21
livej,4847571,68993773,ufscc,2,3143.878000,-1,-1,-1,971232,-1,947776,16875,3280,2019-11-08.13:05:27
patent,3774768,16518948,ufscc,2,647.878000,-1,-1,-1,3774768,-1,3774768,0,0,2019-11-08.13:05:28
pokec,1632804,30622564,ufscc,2,1515.970000,-1,-1,-1,325893,-1,323799,1904,151,2019-11-08.13:05:31
random,10000001,100000000,ufscc,2,9475.902000,-1,-1,-1,877,-1,876,0,0,2019-11-08.13:05:44
rmat,9999994,100000000,ufscc,2,9036.305000,-1,-1,-1,2247072,-1,2247071,0,0,2019-11-08.13:05:57
ssca2,1048577,157877986,ufscc,2,1421.742000,-1,-1,-1,31,-1,29,1,0,2019-11-08.13:06:03
wiki_link_en,12150977,378142420,ufscc,2,9323.316000,-1,-1,-1,4852900,-1,4846174,3205,1301,2019-11-08.13:06:23
wiki-links,5710993,130160392,ufscc,2,4454.333000,-1,-1,-1,2002220,-1,1998569,2692,605,2019-11-08.13:06:32
wiki_talk_en,2987536,24981163,ufscc,2,534.804000,-1,-1,-1,2736716,-1,2735641,992,58,2019-11-08.13:06:35
youtube-links,1138500,4942297,ufscc,2,237.176000,-1,-1,-1,613423,-1,602053,8696,1709,2019-11-08.13:06:35
baidu,2141301,17794839,fasttrim,4,28.868000,598975,-1,598975,0,598975,0,0,0,2019-11-08.13:06:36
-bakery.6,11845035,40400559,fasttrim,4,157.822000,2636196,-1,2636196,0,2636196,0,0,0,2019-11-08.13:06:38
-cambridge.6,3354295,9483191,fasttrim,4,42.569000,8412,-1,8412,0,8412,0,0,0,2019-11-08.13:06:38
dbpedia,3966925,13820853,fasttrim,4,42.226000,1437127,-1,1437127,0,1437127,0,0,0,2019-11-08.13:06:39
dbpedia-link,18268993,172183984,fasttrim,4,335.314000,8143619,-1,8143619,0,8143619,0,0,0,2019-11-08.13:06:45
-leader-filters.7,26302351,91692858,fasttrim,4,382.404000,26302351,-1,26302351,0,26302351,0,0,0,2019-11-08.13:06:49
livej,4847571,68993773,fasttrim,4,118.135000,592952,-1,592952,0,592952,0,0,0,2019-11-08.13:06:51
patent,3774768,16518948,fasttrim,4,377.712000,3774768,-1,3774768,0,3774768,0,0,0,2019-11-08.13:06:52
pokec,1632804,30622564,fasttrim,4,28.186000,212042,-1,212042,0,212042,0,0,0,2019-11-08.13:06:53
random,10000001,100000000,fasttrim,4,347.445000,455,-1,455,0,455,0,0,0,2019-11-08.13:06:57
rmat,9999994,100000000,fasttrim,4,307.220000,2203713,-1,2203713,0,2203713,0,0,0,2019-11-08.13:07:02
ssca2,1048577,157877986,fasttrim,4,34.963000,11,-1,11,0,11,0,0,0,2019-11-08.13:07:06
wiki_link_en,12150977,378142420,fasttrim,4,269.710000,37102,-1,37102,0,37102,0,0,0,2019-11-08.13:07:17
wiki-links,5710993,130160392,fasttrim,4,123.696000,7415,-1,7415,0,7415,0,0,0,2019-11-08.13:07:21
wiki_talk_en,2987536,24981163,fasttrim,4,14.229000,2611598,-1,2611598,0,2611598,0,0,0,2019-11-08.13:07:24
youtube-links,1138500,4942297,fasttrim,4,11.892000,600414,-1,600414,0,600414,0,0,0,2019-11-08.13:07:24
baidu,2141301,17794839,trim,4,57.568000,598975,9,598975,598975,598975,598975,0,0,2019-11-08.13:07:25
-bakery.6,11845035,40400559,trim,4,1163.390000,2636196,47,2636196,2636196,2636196,2636196,0,0,2019-11-08.13:07:27
-cambridge.6,3354295,9483191,trim,4,327.372000,8412,65,8412,8412,8412,8412,0,0,2019-11-08.13:07:28
dbpedia,3966925,13820853,trim,4,948.908000,1437127,111,1437127,1437127,1437127,1437127,0,0,2019-11-08.13:07:30
